code_insee,nom_commune,lon,lat,score_tension,dep
77244,Larchant,2.5996629508196722,48.290494754098354,76.8,77
77246,Léchelle,3.38881546875,48.56965359375,73.1,77
77252,Limoges-Fourches,2.6693844680851067,48.62808531914894,64.0,77
77256,Lizines,3.163008285714286,48.52932714285714,77.5,77
77260,Longueville,3.236666857142857,48.51479371428571,75.2,77
77262,Louan-Villegruis-Fontaine,3.4937798863636362,48.61775556818182,93.0,77
77263,Luisetaines,3.1876203333333333,48.462256333333336,90.1,77
77272,Maison-Rouge,3.150435238095238,48.555838095238094,66.3,77
77275,Les Marêts,3.3166166666666665,48.670767777777776,90.2,77
77289,Melz-sur-Seine,3.402378653846154,48.49535153846154,58.9,77
77298,Mons-en-Montois,3.1394290000000002,48.4914162,91.1,77
77301,Montceaux-lès-Provins,3.447495238095238,48.69640698412698,93.0,77
77302,Moncourt-Fromonville,2.712959047619048,48.29924166666667,51.5,77
77319,Mortery,3.2488304761904763,48.58988071428572,77.6,77
77325,Mouy-sur-Seine,3.2449857142857144,48.43223111111111,87.5,77
77341,Noyen-sur-Seine,3.344566440677966,48.45080288135593,68.3,77
77347,Les Ormes-sur-Voulzie,3.224924406779661,48.457722881355934,85.1,77
77355,Paroy,3.2010372727272727,48.47971909090909,77.7,77
77356,Passy-sur-Seine,3.342001739130435,48.42852782608696,79.7,77
77357,Pécy,3.065083571428571,48.64713089285714,82.0,77
77368,Poigny,3.276756862745098,48.54567823529411,70.0,77
77379,Provins,3.2886738235294115,48.56370661764706,71.0,77
77396,Rupéreux,3.3276946153846154,48.64255948717948,85.8,77
77403,Saint-Brice,3.3343136734693877,48.57048469387755,75.5,77
77404,Sainte-Colombe,3.257246785714286,48.53537839285714,68.7,77
77414,Saint-Hilliers,3.258537857142857,48.633444464285716,75.1,77
77416,Saint-Just-en-Brie,3.1226830769230767,48.60617192307692,87.6,77
77418,Saint-Loup-de-Naud,3.2211654901960785,48.536894705882354,69.8,77
77434,Saint-Sauveur-lès-Bray,3.2049944,48.436571400000005,87.5,77
77444,Sancy-lès-Provins,3.3918214285714288,48.7099507936508,93.0,77
77452,Sigy,3.163646486486486,48.47349756756757,90.1,77
77454,Sognolles-en-Montois,3.1493203999999997,48.52031,80.1,77
77456,Soisy-Bouy,3.2987710169491526,48.50917677966101,74.6,77
77459,Sourdun,3.357855964912281,48.540555614035085,58.9,77
77461,Thénisy,3.178087045454545,48.49017204545455,85.9,77
77486,Vaudoy-en-Brie,3.079091038961039,48.697430909090905,79.2,77
77496,Vieux-Champagne,3.1391597619047618,48.587093095238096,85.6,77
77519,Villiers-Saint-Georges,3.4117356626506026,48.65290939759036,92.8,77
77520,Villiers-sous-Grez,2.633599756097561,48.31663365853659,62.9,77
77522,Villiers-sur-Seine,3.383717049180328,48.45894229508197,73.2,77
77524,Vimpelles,3.1659395588235295,48.44144279411765,90.4,77
77530,Voulton,3.3353689552238803,48.61563,85.1,77
77532,Vulaines-lès-Provins,3.217415,48.56221232142857,63.3,77
77015,Baby,3.342402,48.393069,89.4,77
77019,Balloy,3.15098,48.39838861538461,92.8,77
77021,Barbey,3.04752,48.36579848484848,83.3,77
77025,Bazoches-lès-Bray,3.190314,48.40104985714285,90.2,77
77051,Bray-sur-Seine,3.2455187999999997,48.4169092,84.5,77
77054,La Brosse-Montceaux,3.023537076923077,48.33953076923077,68.7,77
77061,Cannes-Écluse,2.9947024561403506,48.36254754385965,68.1,77
77087,La Chapelle-Iger,2.9894770833333335,48.65089354166667,84.4,77
77098,Châteaubleau,3.1057516216216214,48.583374054054055,77.1,77
77101,Châtenay-sur-Seine,3.0958644642857145,48.41975428571429,85.6,77
77119,Clos-Fontaine,3.011756052631579,48.603292894736846,84.2,77
77133,Courcelles-en-Bassée,3.051879090909091,48.41238378787879,86.3,77
77140,Coutençon,2.997219090909091,48.47274545454545,80.0,77
77147,La Croix-en-Brie,3.071659135802469,48.59432320987654,82.6,77
77157,Dhuisy,3.162510163934426,49.03389885245902,83.3,77
77158,Diant,3.0026333333333333,48.29340944444444,90.9,77
77172,Esmans,2.96906109375,48.33890359375,65.2,77
77187,Fontaine-Fourches,3.3968063076923074,48.413100769230766,74.1,77
77190,Fontains,3.006785593220339,48.52192983050847,85.1,77
77201,Gastins,3.01924890625,48.62739953125,81.4,77
